ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
A5M1H_5,C/D,U4,A5M1 Site H,Upper Thames and Chilterns,-20.55,10.17,-20.19,9.72,-15.11,0.36,-0.44,5.08,5.19,0.365851583,,
A5M1H_8,C/D,2/U3,A5M1 Site H,Upper Thames and Chilterns,-20.23,8.21,-19.92,8.14,-14.66,0.31,-0.07,5.26,5.37,0.314359172,,
A5M1H_9,C/D,U5,A5M1 Site H,Upper Thames and Chilterns,-20.62,9.68,-20.12,9.66,-14.66,0.50,-0.02,5.46,5.57,0.51529304,,
A5M1H_11,C/D,Adult,A5M1 Site H,Upper Thames and Chilterns,-20.49,9.42,-20.12,11.40,-14.29,0.38,1.98,5.83,5.95,0.383185181,,
A5M1H_12,C/D,F4,A5M1 Site H,Upper Thames and Chilterns,-20.32,8.68,-19.71,9.24,-13.97,0.61,0.56,5.75,5.86,0.621973917,,
A5M1H_13,C/D,M4,A5M1 Site H,Upper Thames and Chilterns,-20.30,9.71,-20.03,10.57,-14.56,0.27,0.86,5.47,5.59,0.270829825,,
BAEH_11,B,M4/5,Edix  Hill,Cambridge and South Cambs,-20.03,10.33,-19.73,10.15,-14.46,0.30,-0.18,5.27,5.38,0.307493557,,
BAEH_13.1,B/C,M5/6,Edix  Hill,Cambridge and South Cambs,-20.01,10.14,-20.09,9.22,-14.56,-0.08,-0.92,5.52,5.64,-0.077211882,,
BAEH_19,B/C,M4,Edix  Hill,Cambridge and South Cambs,-20.01,8.91,-20.07,10.10,-15.19,-0.06,1.19,4.88,4.98,-0.058844098,,
BAEH_29,B,F5,Edix  Hill,Cambridge and South Cambs,-20.40,10.61,-20.43,10.89,-13.74,-0.03,0.28,6.68,6.82,-0.030624661,,
BAEH_42B,D,F4,Edix  Hill,Cambridge and South Cambs,-20.43,11.36,,,-15.57,,,,,,,
BAEH_52,C/D,M5/6,Edix  Hill,Cambridge and South Cambs,-20.37,10.58,-20.10,9.91,-14.68,0.27,-0.68,5.41,5.52,0.278676928,,
BAEH_95_300A,C/D,M4/5,Edix  Hill,Cambridge and South Cambs,-20.34,10.51,-20.11,10.10,-14.48,0.23,-0.41,5.63,5.75,0.233074218,,
