Unique_ID,Site,Country,Country-Code,County,Region,Latitude,Longitude,Alt_(masl),Modelled_Mean_Annual_Precipitation_(MAP)_(‰),Underlying_Geology,Simplified_Geology,Environment,Date,Date_Category,Element_Sampled,Bone/Tooth,Grave/ID number,Skeleton/Lab_ID,Sk_Age,Age_Category,Sex,Gender,d13C,Measured_O-carb_PDB,O-carb_SMOW,O-PO4_SMOW_Iacumin,O-PO4_SMOW_Measured/Chenery_2012,Chenery_2010_correction,O-dw-SMOW_Levinson,O-dw-SMOW_Chenery_2012,T/degC_Levinson,T/degC_Chenery,87Sr/86Sr,Δ18OMAP-dw_Levinson,Δ18OMAP-dw_Chenery,Δ18Odw-MAP_Levinson,Δ18Odw-MAP_Chenery,Reference
OSR_1,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,LM1,Tooth,9,3022/H[3026],36-45,U5,U,U,-14.7,-5.2,25.6,16.6,16.7,15.2,-9.2,-8,8.7,10.8,,1.6,0.4,-1.6,-0.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_2,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,LOWER M1,Tooth,11,3029/H[3031],Adult,Adult,U,U,-14.3,-5,25.8,16.8,16.9,15.4,-8.8,-7.6,9.5,11.4,,1.2,0,-1.2,0,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_3,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,RPM2,Tooth,12,3033/H[3034],18-25,F4,F?,F,-14,-4.3,26.4,17.4,17.6,16,-7.4,-6.6,11.8,13.1,,-0.2,-1,0.2,1,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_4,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,LPM2,Tooth,13,3036/H[3035],18-25,M4,M,M?,-14.6,-4.6,26.2,17.2,17.3,15.8,-7.9,-7,10.9,12.4,,0.3,-0.6,-0.3,0.6,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_5,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,RM1,Tooth,5,3011/H[3010],18-25,U4,U,U,-15.1,-6.3,24.5,15.5,15.6,14.1,-11.6,-9.7,4.7,7.8,,4,2.1,-4,-2.1,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_6,A5M1H,England,14,Bedfordshire,Upper Thames and Chilterns,51.921125,-0.49638889,130,-7.6,"Chalk, Diamicton, Clay, Silt, Sand And Gravel",Chalk,Inland,7th century,C/D,LM1,Tooth,8,3019/H[3020],6-Nov,2/U3,U,U,-14.7,-5.5,25.2,16.2,16.3,14.8,-10,-8.5,7.4,9.9,,2.4,0.9,-2.4,-0.9,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_7,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,UPPER M2 R,Tooth,204,,23-28,F4,F?,F,-14.8,-5.8,24.9,15.9,16,14.5,-10.6,-9,6.3,9,,3.6,2,-3.6,-2,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_8,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,415-555 AD,B,UPPER M2 L,Tooth,250,,25-30,F5,F,F,-13.7,-6.1,24.7,15.7,15.8,14.3,-11.2,-9.4,5.4,8.4,,4.2,2.4,-4.2,-2.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_9,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,UPPER M2 R,Tooth,271,,20-30,F4,F?,F,-13.7,-6.6,24.1,15.1,15.2,13.7,-12.4,-10.4,3.3,6.7,,5.4,3.4,-5.4,-3.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_10,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,525-565 AD,B,UPPER M2 L,Tooth,297,,30-35,M4/5,M,M,-13.8,-7.3,23.4,14.4,14.5,13,-13.9,-11.5,0.8,4.9,,6.9,4.5,-6.9,-4.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
