Unique_ID,Site,Country,Country_Code,County,Region,Latitude,Longitude,Alt_(masl),Modelled_Mean_Annual_Precipitation_(MAP)_(‰),Underlying_Geology,Simplified_Geology,Environment,Date,Date_Category,Element_Sampled,Tissue_Age,Grave,Skeleton/Lab_ID,Sk_Age,Age_Category,Sex,Gender,Stature_(cm),Pathology,Grave_Goods,Number_of_Grave_Goods,Foreign_Objects,Grave_Orientation,Body_Position,Internment_Style,Distance_to_Nearest_Contemporary_Church_(km),d13C,d15N,Reference
CNB_01,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR101,,Adult,Adult,M,,,,,,,,,,,-18.6,11.1,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_02,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR103,,Adult,Adult,M,,,,,,,,,,,-17.4,10.9,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_03,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1155,G/H,Rib,,BVR104,,Juvenile,Juvenile,U,U,,,,,,,,,,-15.3,11.3,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_04,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR107,,Adult,Adult,M,,,,,,,,,,,-19.1,11.1,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_05,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR109,,Adult,Adult,F,,,,,,,,,,,-18.9,10.9,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_06,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1025-1155,G/H,Rib,0-8,BVR113*,,c8,2,U,,,,,,,,,,,-18.5,10.9,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_07,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR115,,Juvenile,M3,M,,,,,,,,,,,-18.4,11.5,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_08,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,0-3,BVR116,,c3,1,U,,,,,,,,,,,-18.9,9.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_09,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR117,,Adult,Adult,M,,,,,,,,,,,-18.9,10.7,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_10,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR119,,Juvenile,Juvenile,U,U,,,,,,,,,,-18,11,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
